"wbm.access","पहुँच"
"wbm.integrating-and-acting-on-human-rights-risks-and-impacts","मानवाधिकार जोखिमों और प्रभावों को एकीकृत करना और उन पर कार्रवाई करना"
"wbm.just-transition-score","जस्ट ट्रांज़िशन स्कोर"
"wbm.living-wage-fundamentals","जीवित वेतन की बुनियादी बातें"
"wbm.marketing-and-sales","विपणन और बिक्री"
"wbm.narrative","आख्यान"
"wbm.nutrition","पोषण"
"wbm.performance","प्रदर्शन"
"wbm.performance-company-human-rights-practices","प्रदर्शन कंपनी मानवाधिकार प्रथाएँ"
"wbm.performance-response-to-serious-allegations","गंभीर आरोपों पर प्रदर्शन प्रतिक्रिया"
"wbm.personal-data-protection-fundamentals","व्यक्तिगत डेटा सुरक्षा बुनियादी बातें"
"wbm.rank","पद"
"wbm.rank-of-region","क्षेत्र की रैंक"
"wbm.rank-of-sector","सेक्टर की रैंक"
"wbm.region","क्षेत्र"
"wbm.remedies-and-grievance-mechanisms","उपचार और शिकायत तंत्र"
"wbm.research-and-development","अनुसंधान और विकास"
"wbm.respecting-planetary-boundaries","ग्रहों की सीमाओं का सम्मान करना"
"wbm.responsible-lobbying-and-political-engagement-fundamentals","जिम्मेदार पैरवी और राजनीतिक भागीदारी के बुनियादी सिद्धांत"
"wbm.responsible-tax-fundamentals","जिम्मेदार कर मूल बातें"
"wbm.sector","क्षेत्र"
"wbm.seed-production","बीज उत्पादन"
"wbm.skills","कौशल"
"wbm.social-inclusion","सामाजिक समावेश"
"wbm.social-inclusion-and-community-impact","सामाजिक समावेशन और सामुदायिक प्रभाव"
"wbm.social-ranking","सामाजिक रैंकिंग"
"wbm.social-responsibility","सामाजिक जिम्मेदारी"
"wbm.social-score","सामाजिक स्कोर"
"wbm.supply-chain","आपूर्ति श्रृंखला"
"wbm.total-act-score","कुल ACT स्कोर"
"wbm.total-rank","कुल रैंक"
"wbm.total-social-score","कुल सामाजिक स्कोर"
"wbm.traceability","ट्रेसेबिलिटी"
"wbm.trend","रुझान"
"wbm.use","उपयोग"
"wbm.workforce-diversity-disclosure-fundamentals","कार्यबल विविधता प्रकटीकरण बुनियादी बातें"
"wbm.working-hours-fundamentals","काम के घंटे की बुनियादी बातें"
"wbm.workplace","कार्यस्थल"
"wbm.fundamentals-of-advocacy-for-policies-and-regulation-on-green-and-decent-job-creation-employee-retention-education-and-reskilling-and-social-protection-supporting-a-just-transition","हरित और सभ्य रोजगार सृजन पर नीतियों और विनियमन के लिए वकालत के बुनियादी सिद्धांत; कर्मचारी प्रतिधारण, शिक्षा और पुन: कौशल, और एक उचित परिवर्तन का समर्थन करने वाली सामाजिक सुरक्षा"
"wbm.fundamentals-of-retaining-and-re-andor-up-skilling-workers-for-an-inclusive-balanced-workforce","एक समावेशी, संतुलित कार्यबल के लिए श्रमिकों को बनाए रखने और पुनः और/या कौशल बढ़ाने की बुनियादी बातें"
"wbm.gender-equality-and-womens-empowerment-fundamentals","लैंगिक समानता और महिला सशक्तिकरण के मूल सिद्धांत"
